commit	metric_name	metric_value	memory_gb	status	description	episode_id	iter	score	budget_mode	budget_s	hardware_fingerprint	comparable	non_comparable_reason
90bc9b4	eval_score	0.432727	0.0	keep	continuous-hybrid	1da75a0acadd	0	-0.432727	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.492727	0.0	keep	continuous-hybrid	1da75a0acadd	1	-0.492727	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.406364	0.0	discard	continuous-hybrid	1da75a0acadd	2	-0.492727	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.515455	0.0	keep	continuous-hybrid	1da75a0acadd	3	-0.515455	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.521818	0.0	keep	continuous-hybrid	1da75a0acadd	4	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.507273	0.0	discard	continuous-hybrid	1da75a0acadd	5	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.520909	0.0	discard	continuous-hybrid	1da75a0acadd	6	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.517727	0.0	discard	continuous-hybrid	1da75a0acadd	7	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.475909	0.0	discard	continuous-hybrid	1da75a0acadd	8	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
90bc9b4	eval_score	0.000000	0.0	discard	continuous-hybrid	1da75a0acadd	9	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
14ae963	eval_score	0.000000	0.0	discard	continuous-hybrid	1da75a0acadd	10	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
14ae963	eval_score	0.000000	0.0	discard	continuous-hybrid	1da75a0acadd	11	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
14ae963	eval_score	0.403636	0.0	discard	continuous-hybrid	1da75a0acadd	12	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
14ae963	eval_score	0.517273	0.0	discard	continuous-hybrid	1da75a0acadd	13	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
14ae963	eval_score	0.500000	0.0	discard	continuous-hybrid	1da75a0acadd	14	-0.521818	fixed_wallclock	28800	ef8fd2cb7b384864	1	
